nohup: ignoring input
================================================================================
[auto-launch] Monitoring training data download
================================================================================
  Expected zarrs: 17
  Zarr directory: /media/jeff/Seagate/ves_zarrs2
  Poll interval:  30s
  Campaign mode:  FULL (all 6 tests)
================================================================================
[2026-08-08 11:35:05] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:35:35] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:36:05] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:36:35] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:37:05] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:37:35] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:38:05] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:38:35] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:39:05] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:39:35] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:40:06] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:40:36] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:41:06] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:41:36] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:42:06] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:42:36] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:43:06] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:43:36] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:44:06] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:44:36] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:45:06] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:45:36] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:46:06] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:46:36] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:47:06] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:47:36] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:48:06] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:48:36] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:49:06] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:49:36] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:50:06] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:50:36] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:51:06] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:51:36] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:52:06] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:52:36] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:53:06] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:53:36] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:54:06] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:54:36] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:55:06] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:55:36] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:56:06] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:56:37] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:57:07] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:57:37] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:58:07] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:58:37] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:59:07] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:59:37] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:00:07] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:00:37] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:01:07] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:01:37] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:02:07] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:02:37] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:03:07] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:03:37] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:04:07] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:04:37] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:05:07] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:05:37] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:06:07] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:06:37] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:07:07] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:07:37] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:08:07] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:08:37] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:09:07] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:09:37] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:10:07] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:10:37] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:11:07] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:11:37] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:12:07] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:12:37] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:13:08] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:13:38] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:14:08] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:14:38] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:15:08] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:15:38] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:16:08] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:16:38] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:17:08] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:17:38] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:18:08] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:18:38] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:19:08] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:19:38] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:20:08] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:20:38] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:21:08] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:21:38] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:22:08] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:22:38] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:23:08] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:23:38] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:24:08] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:24:38] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:25:08] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:25:38] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:26:08] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:26:38] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:27:08] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:27:38] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:28:08] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:28:38] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:29:08] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:29:38] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:30:09] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:30:39] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:31:09] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:31:39] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:32:09] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:32:39] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:33:09] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:33:39] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:34:09] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:34:39] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:35:09] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:35:39] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:36:09] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:36:39] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:37:09] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:37:39] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:38:09] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:38:39] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 12:39:09] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
